SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,2922 21st St,San Francisco,CA,94110,1575000,3,2.0,San Francisco,,2479,1904,6,,350,Active,October-2-2021 12:00 PM,October-2-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/2922-21st-St-94110/home/12354836,San Francisco MLS,421598191,N,Y,37.7575754,-122.4129001
MLS Listing,,Single Family Residential,619 28th Ave,San Francisco,CA,94121,1595000,3,2.5,San Francisco,6570,,1926,6,243,,Active,October-3-2021 01:00 PM,October-3-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/619-28th-Ave-94121/home/617931,San Francisco MLS,421598319,N,Y,37.7776148,-122.4881042
MLS Listing,,Single Family Residential,559 Joost Ave,San Francisco,CA,94127,979000,2,1.0,San Francisco,979,2500,1924,6,1000,,Active,October-3-2021 01:00 PM,October-3-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/559-Joost-Ave-94127/home/691976,San Francisco MLS,421598293,N,Y,37.7321612,-122.4480616
MLS Listing,,Condo/Co-op,181 Fremont Unit 62C,San Francisco,CA,94105,2450000,2,2.5,San Francisco,1262,,2018,6,1941,2678,Active,,,http://www.redfin.com/CA/San-Francisco/181-Fremont-St-94105/unit-62C/home/144231786,San Francisco MLS,421598190,N,Y,37.7898082,-122.3953565
MLS Listing,,Single Family Residential,158 Cervantes Blvd,San Francisco,CA,94123,4795000,4,3.5,San Francisco,3255,2500,,6,1473,,Active,October-3-2021 02:00 PM,October-3-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/158-Cervantes-Blvd-94123/home/558405,San Francisco MLS,421596480,N,Y,37.8047096,-122.4400567
MLS Listing,,Condo/Co-op,74 New Montgomery St #304,San Francisco,CA,94105,599000,0,1.0,San Francisco,498,17865,1914,6,1203,880,Active,,,http://www.redfin.com/CA/San-Francisco/74-New-Montgomery-St-94105/unit-304/home/17304419,San Francisco MLS,421597231,N,Y,37.7874649,-122.4012865
MLS Listing,,Condo/Co-op,1025 Minna St #5,San Francisco,CA,94103,895000,1,1.5,San Francisco,933,3921,2003,6,959,434,Active,October-3-2021 01:00 PM,October-3-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1025-Minna-St-94103/unit-5/home/2065666,San Francisco MLS,421597805,N,Y,37.7734573,-122.4168843
MLS Listing,,Single Family Residential,142 Wawona St,San Francisco,CA,94127,1995000,4,1.5,San Francisco,2687,2931,1923,6,742,,Active,September-30-2021 05:30 PM,September-30-2021 07:00 PM,http://www.redfin.com/CA/San-Francisco/142-Wawona-St-94127/home/684483,San Francisco MLS,421573559,N,Y,37.7408112,-122.467445
MLS Listing,,Condo/Co-op,2205 Sacramento St #201,San Francisco,CA,94115,1595000,2,1.5,San Francisco,1582,8805,1908,6,1008,690,Active,October-3-2021 01:00 PM,October-3-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/2205-Sacramento-St-94115/unit-201/home/1914955,San Francisco MLS,421596780,N,Y,37.790137,-122.4295439
MLS Listing,,Condo/Co-op,1200 California St Unit 25A,San Francisco,CA,94109,2250000,1,2.0,San Francisco,1435,,1962,6,1568,2166,Active,,,http://www.redfin.com/CA/San-Francisco/1200-California-St-94109/unit-25A/home/12400737,San Francisco MLS,421597809,N,Y,37.7917486,-122.4144729
